interview,participant,employee_id,participant_status,is_test,started_at,completed_at,consented_at,thread,turn_index,question_source,anchor_question,question_asked,question_type,answer_text,answer_options,is_skipped,is_voice,time_spent_seconds,created_at,extracted_quotes,assignment_id
The office 2,,2cf43d20-da63-4f6e-9ab8-764abf31f1a7,completed,False,2026-06-24 21:24:14.546+00,2026-06-24 21:27:42.283+00,2026-06-24 21:24:04.271+00,0,0,base,How's work been this week?,How's work been this week?,mood,Great!,,False,False,19,2026-06-24 21:24:14.630752+00,,053286d3-02ab-46d1-a40e-07f22f6fb1b2
The office 2,,2cf43d20-da63-4f6e-9ab8-764abf31f1a7,completed,False,2026-06-24 21:24:14.546+00,2026-06-24 21:27:42.283+00,2026-06-24 21:24:04.271+00,1,0,base,Got it. Is there anything that could make things better right now?,Got it. Is there anything that could make things better right now?,text,"Honestly? The people. I have assembled an incredible team here in Scranton and they genuinely love me — not just as a boss, but as a friend, an entertainer, a mentor. I have a ""World's Best Boss"" mug that I drink from every single day. Did I buy it myself? Yes. Does that make it less true? Absolutely not.",,False,False,13,2026-06-24 21:24:29.952346+00,"I have a ""World's [REDACTED]"" mug that I drink from every single day. Did I buy it myself? Yes. Does that make it less true? Absolutely not.",053286d3-02ab-46d1-a40e-07f22f6fb1b2
The office 2,,2cf43d20-da63-4f6e-9ab8-764abf31f1a7,completed,False,2026-06-24 21:24:14.546+00,2026-06-24 21:27:42.283+00,2026-06-24 21:24:04.271+00,1,1,ai_followup,Got it. Is there anything that could make things better right now?,What does a good day with them actually look like?,text,"A good day is when I walk out into that bullpen and do something totally unexpected — like a classic ""Wazzup!"" — and everyone just lights up. People are laughing, the energy is electric, and you can just feel that this is a family, not just a workplace. That's what separates me from other managers. I entertain AND I manage. It's a gift.",,False,False,21,2026-06-24 21:24:52.075772+00,I entertain AND I manage. It's a gift.,053286d3-02ab-46d1-a40e-07f22f6fb1b2
The office 2,,2cf43d20-da63-4f6e-9ab8-764abf31f1a7,completed,False,2026-06-24 21:24:14.546+00,2026-06-24 21:27:42.283+00,2026-06-24 21:24:04.271+00,1,2,ai_followup,Got it. Is there anything that could make things better right now?,Has there been a moment recently where that fell flat?,text,"electric. Like a comedy club, but also a high-performing paper sales office. People feed off my energy, and I feed off theirs. It's a symbiotic relationship. Like Bono and the crowd at a U2 concert. I'm Bono in this scenario.",,False,False,15,2026-06-24 21:25:06.997634+00,"Like a comedy club, but also a high-performing paper sales office.",053286d3-02ab-46d1-a40e-07f22f6fb1b2
The office 2,,2cf43d20-da63-4f6e-9ab8-764abf31f1a7,completed,False,2026-06-24 21:24:14.546+00,2026-06-24 21:27:42.283+00,2026-06-24 21:24:04.271+00,1,3,ai_followup,Got it. Is there anything that could make things better right now?,"Before we dig into the work itself, anything on your mind coming into today?",text,,,True,False,19,2026-06-24 21:25:26.297931+00,,053286d3-02ab-46d1-a40e-07f22f6fb1b2
The office 2,,2cf43d20-da63-4f6e-9ab8-764abf31f1a7,completed,False,2026-06-24 21:24:14.546+00,2026-06-24 21:27:42.283+00,2026-06-24 21:24:04.271+00,3,1,ai_followup,Walk me through a piece of work from the last month that felt really yours.,"That energy with the team is clear, what about the work itself, the actual day-to-day tasks: what part feels most meaningful to you?",text,something you can't teach. You either have it or you don't. And I have it. In spades.,,False,False,15,2026-06-24 21:25:43.187531+00,something you can't teach. You either have it or you don't. And I have it. In spades.,053286d3-02ab-46d1-a40e-07f22f6fb1b2
The office 2,,2cf43d20-da63-4f6e-9ab8-764abf31f1a7,completed,False,2026-06-24 21:24:14.546+00,2026-06-24 21:27:42.283+00,2026-06-24 21:24:04.271+00,3,2,ai_followup,Walk me through a piece of work from the last month that felt really yours.,"When did you last feel it most, what were you actually doing?",text,,,True,False,15,2026-06-24 21:25:59.011973+00,,053286d3-02ab-46d1-a40e-07f22f6fb1b2
The office 2,,2cf43d20-da63-4f6e-9ab8-764abf31f1a7,completed,False,2026-06-24 21:24:14.546+00,2026-06-24 21:27:42.283+00,2026-06-24 21:24:04.271+00,3,3,ai_followup,Walk me through a piece of work from the last month that felt really yours.,Is there anything about the work you'd want to flag before we wrap up?,text,Nope! Everything is fantastic. We also have a documentary crew here today which is very exciting — they're filming us because we're an interesting and successful branch. That's about all I can say on that. Very hush-hush. Top secret. But great.,,False,False,23,2026-06-24 21:26:22.109921+00,,053286d3-02ab-46d1-a40e-07f22f6fb1b2
The office 2,,2cf43d20-da63-4f6e-9ab8-764abf31f1a7,completed,False,2026-06-24 21:24:14.546+00,2026-06-24 21:27:42.283+00,2026-06-24 21:24:04.271+00,4,1,ai_followup,When was the last time your manager said or did something that genuinely helped?,"Thinking about your own boss, what's that relationship like for you?",text,"Absolutely. And I think ""center of gravity"" is exactly right. Pull people in, keep things moving, make sure everyone is having a good time. That's leadership. That's Michael Scott.",,False,False,18,2026-06-24 21:26:41.137923+00,,053286d3-02ab-46d1-a40e-07f22f6fb1b2
The office 2,,2cf43d20-da63-4f6e-9ab8-764abf31f1a7,completed,False,2026-06-24 21:24:14.546+00,2026-06-24 21:27:42.283+00,2026-06-24 21:24:04.271+00,4,2,ai_followup,When was the last time your manager said or did something that genuinely helped?,"What about your boss, when did you last hear from them?",text,,,True,False,13,2026-06-24 21:26:54.705371+00,,053286d3-02ab-46d1-a40e-07f22f6fb1b2
The office 2,,2cf43d20-da63-4f6e-9ab8-764abf31f1a7,completed,False,2026-06-24 21:24:14.546+00,2026-06-24 21:27:42.283+00,2026-06-24 21:24:04.271+00,4,3,ai_followup,When was the last time your manager said or did something that genuinely helped?,Anything else on your mind before we close out?,text,"No, I think that covers it. Things are great, people are happy, and the branch is in very capable hands. Mine.",,False,False,17,2026-06-24 21:27:11.793908+00,"Things are great, people are happy, and the branch is in very capable hands. Mine.",053286d3-02ab-46d1-a40e-07f22f6fb1b2
The office 2,,60f847a2-4797-49bf-a029-4f51f4e0e115,completed,False,2026-06-24 21:24:10.353+00,2026-06-24 21:29:02.131+00,2026-06-24 21:24:01.303+00,0,0,base,How's work been this week?,How's work been this week?,mood,Okay,,False,False,20,2026-06-24 21:24:10.447277+00,,c900ca9f-e099-44fc-8c05-96f6d6cfe9da
The office 2,,60f847a2-4797-49bf-a029-4f51f4e0e115,completed,False,2026-06-24 21:24:10.353+00,2026-06-24 21:29:02.131+00,2026-06-24 21:24:01.303+00,1,0,base,Got it. Is there anything that could make things better right now?,Got it. Is there anything that could make things better right now?,text,"Honestly? Not much. I mean, today had its highlights — the Jell-O prank really came together nicely. If I'm being serious, fewer meetings where the outcome is ""we might all lose our jobs but also maybe not"" would be a start.",,False,False,16,2026-06-24 21:24:29.482021+00,"fewer meetings where the outcome is ""we might all lose our jobs but also maybe not"" would be a start",c900ca9f-e099-44fc-8c05-96f6d6cfe9da
The office 2,,60f847a2-4797-49bf-a029-4f51f4e0e115,completed,False,2026-06-24 21:24:10.353+00,2026-06-24 21:29:02.131+00,2026-06-24 21:24:01.303+00,1,1,ai_followup,Got it. Is there anything that could make things better right now?,What was the meeting actually about?,text,"Michael gathered everyone to confirm the rumor that's been floating around — corporate might downsize one of the branches, either us or Stamford. He kept insisting it wouldn't be Scranton, but Pam had been in the meeting with Jan and basically let slip that it could be us. Michael shut that down pretty fast. It was about as reassuring as you'd expect.",,False,False,28,2026-06-24 21:24:58.621752+00,,c900ca9f-e099-44fc-8c05-96f6d6cfe9da
The office 2,,60f847a2-4797-49bf-a029-4f51f4e0e115,completed,False,2026-06-24 21:24:10.353+00,2026-06-24 21:29:02.131+00,2026-06-24 21:24:01.303+00,1,2,ai_followup,Got it. Is there anything that could make things better right now?,How did the room feel after Michael wrapped it up?,text,"I mean, it felt like when someone says ""everything's fine"" in a voice that makes it very clear everything is not fine. Stanley looked like he wanted to be anywhere else on earth. Oscar was asking real questions and not getting real answers. Michael was smiling the whole time, which somehow made it worse.",,False,False,30,2026-06-24 21:25:28.915685+00,"it felt like when someone says ""everything's fine"" in a voice that makes it very clear everything is not fine",c900ca9f-e099-44fc-8c05-96f6d6cfe9da
The office 2,,60f847a2-4797-49bf-a029-4f51f4e0e115,completed,False,2026-06-24 21:24:10.353+00,2026-06-24 21:29:02.131+00,2026-06-24 21:24:01.303+00,1,3,ai_followup,Got it. Is there anything that could make things better right now?,Did anyone say anything on the way out?,text,"Not really, people kind of just dispersed. Which is its own answer, I think. The new guy — Ryan, first day — was hovering outside the whole time on his phone. He mentioned he'd heard they might close this branch. Again, first day. Great introduction to the job.",,False,False,28,2026-06-24 21:25:56.878532+00,,c900ca9f-e099-44fc-8c05-96f6d6cfe9da
The office 2,,60f847a2-4797-49bf-a029-4f51f4e0e115,completed,False,2026-06-24 21:24:10.353+00,2026-06-24 21:29:02.131+00,2026-06-24 21:24:01.303+00,3,1,ai_followup,Walk me through a piece of work from the last month that felt really yours.,"When you block it out, what part of your actual work still feels worth doing?",text,"Honestly, the client calls. Not because I love talking about paper — I can bore myself to tears just describing the job — but there's something satisfying about actually closing a deal. That part works. Everything around it is... a lot.",,False,False,28,2026-06-24 21:26:25.709786+00,there's something satisfying about actually closing a deal. That part works. Everything around it is... a lot.,c900ca9f-e099-44fc-8c05-96f6d6cfe9da
The office 2,,60f847a2-4797-49bf-a029-4f51f4e0e115,completed,False,2026-06-24 21:24:10.353+00,2026-06-24 21:29:02.131+00,2026-06-24 21:24:01.303+00,3,2,ai_followup,Walk me through a piece of work from the last month that felt really yours.,What's going through your head right at that moment?,text,"Honestly? Relief, mostly. And then immediately after — ""I just sold someone paper."" So it's a pretty short high. But in the moment, yeah, it feels good.",,False,False,27,2026-06-24 21:26:53.017932+00,,c900ca9f-e099-44fc-8c05-96f6d6cfe9da
The office 2,,60f847a2-4797-49bf-a029-4f51f4e0e115,completed,False,2026-06-24 21:24:10.353+00,2026-06-24 21:29:02.131+00,2026-06-24 21:24:01.303+00,3,3,ai_followup,Walk me through a piece of work from the last month that felt really yours.,What kills the feeling so fast?,text,"Looking up and remembering where I am, mostly. You hang up the phone and Dwight is right there, very concerned about the demarcation of his desk space. The ambiance is a real mood-killer.",,False,False,20,2026-06-24 21:27:13.608512+00,,c900ca9f-e099-44fc-8c05-96f6d6cfe9da
The office 2,,60f847a2-4797-49bf-a029-4f51f4e0e115,completed,False,2026-06-24 21:24:10.353+00,2026-06-24 21:29:02.131+00,2026-06-24 21:24:01.303+00,4,1,ai_followup,When was the last time your manager said or did something that genuinely helped?,"Thinking about Michael, does he make any of that easier or harder?",text,"Harder, but not in a way he'd ever intend. He pulled me into his office today to show me how to close — it was a lesson in what not to do. He got a woman on the phone and spent the whole call talking down to her until he realized she was the decision-maker. I had to just stand there. So, yeah. Harder.",,False,False,30,2026-06-24 21:27:44.655437+00,He got a woman on the phone and spent the whole call talking down to her until he realized she was the decision-maker. I had to just stand there.,c900ca9f-e099-44fc-8c05-96f6d6cfe9da
